,Date,Total_UV,Success_UV,Transfer_rate(%)
0,2019-01-01,60171,1749,2.91
1,2019-01-02,57123,1731,3.03
2,2019-01-03,58749,1710,2.91
3,2019-01-04,58251,1761,3.02
4,2019-01-05,59116,1790,3.03
5,2019-01-06,60536,1763,2.91
6,2019-01-07,54829,1662,3.03
7,2019-01-08,54179,1608,2.97
8,2019-01-09,57173,1730,3.03
9,2019-01-10,57464,1691,2.94
